Schlüssel,Straftat,Gemeinde-schlüssel,Stadt-/Landkreis,Kreisart,erfasste Fälle,HZ nach Zensus,Unique Ids
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09772,Augsburg,LK,27,"10,8070029379038","Augsburg, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09773,Dillingen a.d.Donau,LK,9,"9,45785474836852","Dillingen a.d.Donau, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09774,Günzburg,LK,22,"17,6679864117123","Günzburg, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09775,Neu-Ulm,LK,31,"17,9662234998203","Neu-Ulm, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09776,Lindau (Bodensee),LK,4,"4,92926504658155","Lindau (Bodensee), LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09777,Ostallgäu,LK,14,"10,0518387685062","Ostallgäu, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09778,Unterallgäu,LK,16,"11,2246043326973","Unterallgäu, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09779,Donau-Ries,LK,14,"10,5229136444608","Donau-Ries, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09780,Oberallgäu,LK,10,"6,46964442834222","Oberallgäu, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,10041,Regionalverband Saarbrücken,RV,104,"31,5008329547176","Regionalverband Saarbrücken, RV"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,10042,Merzig-Wadern,LK,38,"36,6597206143397","Merzig-Wadern, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,10043,Neunkirchen,LK,33,"24,7567462133431","Neunkirchen, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,10044,Saarlouis,LK,53,"27,0663636595766","Saarlouis, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,10045,Saarpfalz-Kreis,LK,21,"14,6441472224934","Saarpfalz-Kreis, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,10046,St. Wendel,LK,19,"21,6235901988232","St. Wendel, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,11000,Berlin,KfS,5699,"157,714345806484","Berlin, KfS"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,12051,Brandenburg an der Havel,KfS,50,"69,5545725175973","Brandenburg an der Havel, KfS"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,12052,Cottbus,KfS,164,"162,318381566966","Cottbus, KfS"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,12053,Frankfurt (Oder),KfS,87,"149,389563336024","Frankfurt (Oder), KfS"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,12054,Potsdam,KfS,153,"87,0752945193785","Potsdam, KfS"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,12060,Barnim,LK,120,"66,3481953290871","Barnim, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,12061,Dahme-Spreewald,LK,213,"127,301740985782","Dahme-Spreewald, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,12062,Elbe-Elster,LK,28,"27,0649074476826","Elbe-Elster, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,12063,Havelland,LK,113,"70,3129861240744","Havelland, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,12064,Märkisch-Oderland,LK,194,"100,559296292265","Märkisch-Oderland, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,12065,Oberhavel,LK,152,"72,4178510002716","Oberhavel, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,12066,Oberspreewald-Lausitz,LK,64,"57,5943557531362","Oberspreewald-Lausitz, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,12067,Oder-Spree,LK,309,"173,257750340628","Oder-Spree, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,12068,Ostprignitz-Ruppin,LK,54,"54,3434506078416","Ostprignitz-Ruppin, LK"
